id,name,name_en,scientific_name,is_active,description_ru,description_ua,description_en,symptoms_ru,symptoms_ua,symptoms_en,development_conditions_ru,development_conditions_ua,development_conditions_en,control_measures_ru,control_measures_ua,control_measures_en,photo_path,source_urls,crops
2f425d53-eeea-4ecc-b7fd-0507155209c5,Антракноз гороха,Anthracnose of Pea,,True,Возбудитель -Colletotrichum pisi Pal.,Збудник - Colletotrichum pisi Pal.,Pathogen - Colletotrichum pisi Pal.,"Симптомы болезниИнфицирование растений проходит на протяжении всего периода вегетации. Наиболее опасные периоды  поражения - фаза всходов и образования бобов.  Болезнь проявляется на семядолях в виде коричневато-красных пятен с более светлым центром. Коричневато-красные подушечки, появляющиеся в середине пятна, состоят из одиночных конидиеносцев с удлиненными одноклеточными конидиями.В наибольшей степени антракноз проявляется на бобах. На них образуются чуть вдавленные овальные пятна бурого цвета, обрамленные приподнятой широкой полоской коричневато-красного цвета. При сильном поражении часть пятен сливаются в крупные «язвы», в центре которых образуются скопления спор гриба. Мицелий гриба проникает и в семена, на которых образуются такие же пятна.","Симптоми хвороби Інфікування рослин відбувається протягом усього періоду вегетації. Найбільш небезпечні періоди ураження - фаза сходів і утворення бобів. Хвороба проявляється на сім'ядолях у вигляді коричнювато-червоних плям із більш світлим центром. Коричнювато-червоні подушечки, що з'являються в середині плями, складаються з одиночних конідієносців із подовженими одноклітинними конідіями. У найбільшій мірі антракноз проявляється на бобах. На них утворюються трохи вдавлені овальні плями бурого кольору, обрамлені піднятою широкою смужкою коричнювато-червоного кольору. При сильному ураженні частина плям зливаються у великі «виразки», в центрі яких утворюються скупчення спор гриба. Міцелій гриба проникає і в насіння, на яких утворюються такі ж плями.","Symptoms of the Disease

Plant infection occurs throughout the entire growing season. The most critical periods of infection are the seedling stage and pod formation. The disease manifests on cotyledons as brownish-red spots with a lighter center. Brownish-red pustules appearing in the middle of the spot consist of solitary conidiophores with elongated unicellular conidia.

Anthracnose is most prominently expressed on pods. Slightly sunken oval spots of a brown color, bordered by a raised broad band of brownish-red, form on them. In cases of severe infection, some spots merge into large ""ulcers,"" in the center of which clusters of fungal spores develop. The fungal mycelium also penetrates the seeds, where similar spots form.","Факторы, содействующие развитию болезниПовышенная влажность воздуха (продолжительные осадки, сильные росы, туманы)Пораженные семенаБольные растительные остатки в почве.","Фактори, що сприяють розвитку хвороби: Підвищена вологість повітря (тривалі опади, сильні роси, тумани), Уражене насіння, Хворі рослинні залишки в ґрунті.","Factors Contributing to Disease Development: Increased air humidity (prolonged rainfall, heavy dew, fog), infected seeds, diseased plant residues in the soil.",Меры защитыСевооборотГлубокая своевременная обработка почвыУничтожение растительных остатковФунгицидные обработки,Заходи захистуСівозмінаГлибока своєчасна обробка ґрунтуЗнищення рослинних залишківФунгіцидні обробки,Protection MeasuresCrop RotationDeep and Timely Soil CultivationDestruction of Plant ResiduesFungicide Treatments,downloads\images/diseases\disease_Антракноз_гороха_2f425d53-eeea-4ecc-b7fd-0507155209c5.jpg,https://betaren.ru/harmful/bolezni/bolezni-gorokha-i-nuta/antraknos/,горох
949006e7-89bc-4b8e-b47b-b0ab09d67bba,Аскохитоз гороха,Ascochyta blight of peas,,True,"Возбудители- грибы из родаAscochyta(Ascochyta pisi, Ascochyta pinodes, Ascochyta pinodella)","Збудники - гриби з роду Ascochyta (Ascochyta pisi, Ascochyta pinodes, Ascochyta pinodella)","Pathogens - fungi from the genus Ascochyta (Ascochyta pisi, Ascochyta pinodes, Ascochyta pinodella)","Симптомы болезниБолезнь проявляется на протяжении всего периода вегетации на всех надземных органах растений в различных формах. Развитие болезни начинается с нижнего листа и, распространяясь на верхние яруса растений, охватывает стебли и бобы. Первые признаки поражения аскохитозом проявляются на листьях еще в фазе всходов. Наибольшего развития болезнь достигает в фазе налива-созревания бобов гороха. На пораженных листьях образуются светло-бурые округлые или овальные резко ограниченные или же темно-бурые неправильные пятна, различные по величине - от точечных до крупных (до 8 мм в диаметре). На стеблях и черешках аскохитоз имеет вид бурых пятен или полосок, нередко сливающихся. При заражении растений в конце вегетации типичные пятна не появляются, однако пораженные участки покрываются хорошо заметными пикнидами.Интенсивность развития аскохитоза наблюдается при затяжной дождливой погоде и температуре воздуха около 20-25°С. Внешние признаки болезни значительно варьируют в зависимости от вида возбудителя.A. pisiвызывает светло-бурую пятнистость на листьях, стеблях, бобах и семенах.A. pinodesвызывает темно-бурую пятнистость на листьях и других органах и поражает кроме гороха фасоль, чечевицу и многие другие бобовые культуры.Аскохитоз характеризуется большой вредоносностью. Вследствие преждевременного отмирания пораженных листьев и стеблей семена недоразвиваются, становятся щуплыми, с низкой всхожестью. Потери урожая могут достигать 50 % и более.","Симптоми хвороби Хвороба проявляється протягом усього періоду вегетації на всіх надземних органах рослин у різних формах. Розвиток хвороби починається з нижнього листка і, поширюючись на верхні яруси рослин, охоплює стебла та боби. Перші ознаки ураження аскохітозом з'являються на листках ще у фазі сходів. Найбільшого розвитку хвороба досягає у фазі наливу-дозрівання бобів гороху. На уражених листках утворюються світло-бурі округлі або овальні різко обмежені чи темно-бурі неправильні плями, різні за розміром - від точкових до великих (до 8 мм у діаметрі). На стеблах і черешках аскохітоз має вигляд бурих плям або смужок, які нерідко зливаються. При зараженні рослин наприкінці вегетації типові плями не з'являються, проте уражені ділянки покриваються добре помітними пікнідами. Інтенсивність розвитку аскохітозу спостерігається за затяжної дощової погоди та температури повітря близько 20-25°С. Зовнішні ознаки хвороби значно варіюють залежно від виду збудника. A. pisi викликає світло-буру плямистість на листках, стеблах, бобах і насінні. A. pinodes викликає темно-буру плямистість на листках та інших органах і уражає, крім гороху, квасолю, сочевицю та багато інших бобових культур. Аскохітоз характеризується великою шкідливістю. Внаслідок передчасного відмирання уражених листків і стебел насіння недорозвивається, стає щуплим, з низькою схожістю. Втрати врожаю можуть досягати 50 % і більше.","Symptoms of the Disease

The disease manifests throughout the entire growing season on all above-ground parts of the plants in various forms. The development of the disease begins with the lower leaf and, spreading to the upper tiers of the plants, affects the stems and pods. The first signs of ascochyta blight appear on the leaves even during the seedling phase. The disease reaches its peak development during the pod-filling to maturity phase of peas. On affected leaves, light brown round or oval sharply defined or dark brown irregular spots form, varying in size from pinpoint to large (up to 8 mm in diameter). On stems and petioles, ascochyta blight appears as brown spots or streaks, often merging. When plants are infected at the end of the growing season, typical spots do not appear; however, the affected areas become covered with well-visible pycnidia. The intensity of ascochyta blight development is observed during prolonged rainy weather and air temperatures around 20-25°C. The external symptoms of the disease vary significantly depending on the type of pathogen. A. pisi causes light brown spotting on leaves, stems, pods, and seeds. A. pinodes causes dark brown spotting on leaves and other organs and affects not only peas but also beans, lentils, and many other leguminous crops. Ascochyta blight is characterized by high harmfulness. Due to the premature death of affected leaves and stems, seeds become underdeveloped, shriveled, and have low germination. Yield losses can reach 50% or more.","Факторы, содействующие развитию болезниОбильные осадки или высокая относительная влажность, температура воздуха порядка 20°С, влажные почвыПораженные семенаБольные растительные остатки в почве","Фактори, що сприяють розвитку хвороби: рясні опади або висока відносна вологість, температура повітря близько 20°C, вологі ґрунти. Уражене насіння. Хворі рослинні залишки в ґрунті.","Factors Contributing to Disease DevelopmentAbundant precipitation or high relative humidity, air temperature around 20°C, moist soilsInfected seedsDiseased plant residues in the soil","Меры защитыПредпосевное внесение в почву фосфорно-калийных удобренийРанние сроки посеваСевооборотСвоевременная уборка гороха, быстрое просушивание и обмолотУборка всех послеуборочных остатков с последующей глубокой зяблевой вспашкойПротравливание семянФунгицидные обработки","Заходи захистуПередпосівне внесення в ґрунт фосфорно-калійних добривРанні строки посівуСівозмінаСвоєчасне збирання гороху, швидке просушування та обмолотЗбирання всіх післяжнивних залишків з наступною глибокою зяблевою оранкоюПротруювання насінняФунгіцидні обробки","Protective MeasuresPre-sowing application of phosphorus-potassium fertilizersEarly sowing datesCrop rotationTimely harvesting of peas, rapid drying, and threshingRemoval of all post-harvest residues followed by deep autumn plowingSeed treatment with fungicidesFungicidal treatments",downloads\images/diseases\disease_Аскохитоз_гороха_949006e7-89bc-4b8e-b47b-b0ab09d67bba.jpg,https://betaren.ru/harmful/bolezni/bolezni-gorokha-i-nuta/askohitos/,горох
e53fa1ca-2519-47c5-814d-a7f99ef2512f,Афаномицетная корневая гниль,Aphanomyces root rot,,True,"Возбудители -Aphanomyces euteichesКроме гороха, поражает вику, фасоль, люцерну, клевер.","Збудники - Aphanomyces euteiches. Окрім гороху, уражує вику, квасолю, люцерну, конюшину.","Pathogens - Aphanomyces euteiches. In addition to peas, it affects vetch, beans, alfalfa, and clover.","Симптомы болезниПроявляется в виде водянистой гнили у основания стебля, стержневого корня и корневых волосков. Кора корня размочаливается и отмирает. Пораженный участок принимает ясно-коричневый оттенок. Корни загнивают и остаются в почве при удалении растений. Растения желтеют, заметно отстают в росте и развитии. Источником инфекции болезни являются ооспоры, которые сохраняются в растительных остатках и почве до 10 лет. В течение вегетационного периода гриб распространяется зооспорами. Заболевание распространено в условиях избыточного и достаточного увлажнения.Гриб узко специализирован.Основной вред возбудитель наносит культуре гороха. Вредоносность выражается в разрушении корневой системы и клубеньков, гибели всходов, отставании растений в росте, карликовости, снижении пищевой ценности и ухудшении посевных качеств семян.Кроме гороха, заражает вику, фасоль, люцерну, клевер.","Симптоми хвороби проявляються у вигляді водянистої гнилі біля основи стебла, стрижневого кореня та кореневих волосків. Кора кореня розм'якшується і відмирає. Уражена ділянка набуває чітко коричневого відтінку. Корені загнивають і залишаються в ґрунті при видаленні рослин. Рослини жовтіють, помітно відстають у рості та розвитку. Джерелом інфекції хвороби є ооспори, які зберігаються в рослинних рештках і ґрунті до 10 років. Протягом вегетаційного періоду гриб поширюється зооспорами. Захворювання поширене в умовах надмірного та достатнього зволоження. Гриб вузькоспеціалізований. Основну шкоду збудник завдає культурі гороху. Шкідливість виражається у руйнуванні кореневої системи та бульбочок, загибелі сходів, відставанні рослин у рості, карликовості, зниженні харчової цінності та погіршенні посівних якостей насіння. Окрім гороху, заражає вику, квасолю, люцерну, конюшину.","Symptoms of the disease manifest as watery rot at the base of the stem, taproot, and root hairs. The root bark becomes macerated and dies. The affected area takes on a clear brown hue. Roots rot and remain in the soil when plants are removed. Plants turn yellow and show noticeable stunted growth and development. The source of infection is oospores, which can persist in plant debris and soil for up to 10 years. During the growing season, the fungus spreads through zoospores. The disease is prevalent under conditions of excessive and adequate moisture. The fungus is highly specialized. The primary damage caused by the pathogen is to pea crops. The harmfulness is expressed in the destruction of the root system and nodules, seedling death, stunted plant growth, dwarfism, reduced nutritional value, and deterioration of seed sowing qualities. In addition to peas, it also infects vetch, beans, alfalfa, and clover.",,,,,,,downloads\images/diseases\disease_Афаномицетная_корневая_гниль_e53fa1ca-2519-47c5-814d-a7f99ef2512f.jpg,https://betaren.ru/harmful/bolezni/bolezni-gorokha-i-nuta/aphanomitsetnaya_kornevaya_gnil/,горох
a7495830-1cf8-4700-919f-2077ba6d5f5e,Бактериальный ожог гороха,Bacterial blight of pea,бактерия,True,Возбудитель - бактерияPseudomonas syringae,Збудник - бактерія Pseudomonas syringae,Pathogen - the bacterium Pseudomonas syringae,"Симптомы болезниВозбудитель заболевания сохраняется в семенах и растительных остатках. В растения попадает через устьица или ранки. Развивается преимущественно в паренхиме ткани и попадает в сосудистую систему растения, закупоривая ее. Проявляется на протяжении всего периода вегетации растения. Общий признак заболевания: поражение всех наземных органов растения и образование на них пятен разной формы, размера и окраски. Первые признаки бактериального ожога отмечаются на всходах, полученные с пораженных семян, далее пятна появляются на нижних листьях, потом болезнь переходит на листья верхнего яруса, стебли и бобы. Бактериальные пятна вначале водянистые, со временем бледно-зелено-бурые с масличным ореолом, позже становятся оливково-коричневые с более темным центром. Со временем пятна могут сливаться и охватывать всю поверхность листовой пластины. На всех пораженных тканях во влажных условиях с нижней стороны пятен выделяются капли грязно-белого или желтоватого бактериального экссудата, при подсыхании которого образуются тонкие блестящие пленочки.На пораженных стеблях появляются красно-коричневые штрихи, которые со временем превращаются в продолговатые пятна с трещинами и окольцовывают стебли, вызывая при этом гибель верхушек.Пораженные бобы и семена покрываются водянистой пятнистостью, которая со временем превращаются в ожог. На сильно пораженных семенах пятна округлые, расплывчатые, слабо вдавленные, желтоватого цвета. Пораженные семена имеют низкие посевные качества.Бактериоз гороха проявляется во влажную и теплую погоду. Оптимальная температура для развития 25-28ºС.","Симптоми хвороби Збудник захворювання зберігається в насінні та рослинних рештках. У рослини потрапляє через продихи або ранки. Розвивається переважно в паренхімі тканини та потрапляє у судинну систему рослини, закупорюючи її. Проявляється протягом усього періоду вегетації рослини. Загальний симптом захворювання: ураження всіх наземних органів рослини та утворення на них плям різної форми, розміру та забарвлення. Перші ознаки бактеріального опіку відзначаються на сходах, отриманих з ураженого насіння, далі плями з'являються на нижніх листках, потім хвороба переходить на листя верхнього ярусу, стебла та боби. Бактеріальні плями спочатку водянисті, з часом блідо-зелено-бурі з маслянистим ореолом, пізніше стають оливково-коричневими з темнішим центром. Згодом плями можуть зливатися та охоплювати всю поверхню листкової пластини. На всіх уражених тканинах у вологих умовах з нижнього боку плям виділяються краплі брудно-білого або жовтуватого бактеріального ексудату, при підсиханні якого утворюються тонкі блискучі плівочки. На уражених стеблах з'являються червоно-коричневі штрихи, які з часом перетворюються на подовжені плями з тріщинами та окільцьовують стебла, викликаючи при цьому загибель верхівок. Уражені боби та насіння покриваються водянистою плямистістю, яка з часом перетворюється на опік. На сильно ураженому насінні плями округлі, розпливчасті, слабо вдавлені, жовтуватого кольору. Уражене насіння має низькі посівні якості. Бактеріоз гороху проявляється у вологу та теплу погоду. Оптимальна температура для розвитку 25-28ºС.","Symptoms of the Disease

The pathogen of the disease is preserved in seeds and plant residues. It enters the plants through stomata or wounds. It primarily develops in the parenchyma tissue and infiltrates the plant's vascular system, causing blockages. The disease manifests throughout the entire growing season of the plant. A general symptom of the disease is the infection of all above-ground plant organs, leading to the formation of spots of various shapes, sizes, and colors. The first signs of bacterial blight are observed on seedlings grown from infected seeds; subsequently, spots appear on the lower leaves, then the disease progresses to the upper leaves, stems, and pods. Initially, bacterial spots are watery, later turning pale green-brown with an oily halo, and eventually becoming olive-brown with a darker center. Over time, the spots may merge, covering the entire leaf surface. In humid conditions, droplets of dirty-white or yellowish bacterial exudate are released from the underside of the spots on all affected tissues, forming thin shiny films as they dry.

On affected stems, red-brown streaks appear, which eventually develop into elongated spots with cracks, encircling the stems and causing the death of the tips. Affected pods and seeds exhibit watery spotting, which eventually turns into blight. On severely affected seeds, the spots are round, diffuse, slightly depressed, and yellowish in color. Infected seeds have low sowing quality.

Pea bacterial blight manifests in warm and humid weather. The optimal temperature for its development is 25-28ºC.",,,,,,,downloads\images/diseases\disease_Бактериальный_ожог_гороха_a7495830-1cf8-4700-919f-2077ba6d5f5e.jpg,https://betaren.ru/harmful/bolezni/bolezni-gorokha-i-nuta/bakterialni_ozhog/,горох
35c09c9c-81f5-42d1-b06d-7668202d4978,Белая гниль гороха,White mold of pea,гриб,True,"Возбудитель - грибSclerotinia libertiana, Sclerotinia sclerotiorum","Збудник - гриб Sclerotinia libertiana, Sclerotinia sclerotiorum","Pathogen - fungus Sclerotinia libertiana, Sclerotinia sclerotiorum","Симптомы болезниПоражаются преимущественно прикорневая часть стебля, корни, а также надземные органы растений. Ткани размягчаются, белеют, а затем буреют.На поверхности и внутри пораженных органов образуется белый ватообразный налет мицелия, на котором позднее формируются черные склероции, разнообразные по величине - от 0,5 до 3-4 мм. Стебли больных растений нередко надламываются, растения увядают. Во влажную погоду пораженные ткани имеют вид мокрой гнили с капельками жидкости, а в сухую - становятся трухлявыми. Генеративные органы часто опадают. Заболевание не всегда сопровождается изменением цвета тканей. Однако обязательным его признаком является появление сначала обильного нежно-белого налета мицелия, а затем различной величины и формы черных склероциев.Белая гниль распространена повсеместно. Наибольший вред наносит в районах с влажным климатом и с холодными затяжными веснами.Источник болезни: пораженные семена, внутри которых патоген сохраняется грибницей; склероции гриба в почве и в виде примесей с семенами.","Симптоми хвороби Уражаються переважно прикоренева частина стебла, корені, а також надземні органи рослин. Тканини розм'якшуються, біліють, а потім буріють. На поверхні та всередині уражених органів утворюється білий ватоподібний наліт міцелію, на якому пізніше формуються чорні склероції, різноманітні за величиною - від 0,5 до 3-4 мм. Стебла хворих рослин нерідко надламуються, рослини в'януть. У вологу погоду уражені тканини мають вигляд мокрої гнилі з крапельками рідини, а в суху - стають трухлявими. Генеративні органи часто опадають. Захворювання не завжди супроводжується зміною кольору тканин. Однак обов'язковою його ознакою є поява спочатку рясного ніжно-білого нальоту міцелію, а потім різної величини та форми чорних склероціїв. Біла гниль поширена повсюдно. Найбільшу шкоду завдає в районах з вологим кліматом і з холодними затяжними веснами. Джерело хвороби: уражене насіння, всередині якого патоген зберігається грибницею; склероції гриба в ґрунті та у вигляді домішок з насінням.","Symptoms of the Disease

The disease primarily affects the basal part of the stem, roots, and aerial parts of the plants. The tissues soften, turn white, and then brown. A white, cotton-like mycelium coating forms on the surface and inside the affected organs, on which black sclerotia later develop, varying in size from 0.5 to 3-4 mm. The stems of diseased plants often break, and the plants wilt. In humid weather, the affected tissues appear as wet rot with droplets of liquid, while in dry conditions, they become crumbly. Generative organs often fall off. The disease does not always result in a change in tissue color. However, a mandatory sign is the initial appearance of abundant delicate white mycelium, followed by black sclerotia of various sizes and shapes.

White rot is widespread. It causes the most damage in regions with a humid climate and cold, prolonged springs. The source of the disease includes infected seeds, within which the pathogen persists as mycelium; sclerotia of the fungus in the soil and as impurities with seeds.",,,,,,,downloads\images/diseases\disease_Белая_гниль_гороха_35c09c9c-81f5-42d1-b06d-7668202d4978.jpg,https://betaren.ru/harmful/bolezni/bolezni-gorokha-i-nuta/belaya_gnil_goroha/,горох
2a9bb5ee-ff76-442f-9f16-8076694da320,Вирус деформирующей мозаики,Deforming Mosaic Virus,,True,Возбудитель -Pea enation mosaic enamovirus,Збудник - Pea enation mosaic enamovirus,Pathogen - Pea enation mosaic enamovirus,"Симптомы болезниДеформирующая мозаика вызывает изменение анатомического строения жилок листа, поверхности листа, что обусловлено дегенерированием флоэмы в проводящих пучках, отсутствием столбчатой паренхимы мезофилла, сильным утолщением листовой пластинки. Паренхима, расположенная над пучком вдоль жилок, сильно разрастается, в результате чего образуются выросты. Вирус проявляется в виде крапчатости, морщинистости и курчавости листьев и прилистников. На листьях образуются желтоватые пятна, которые в дальнейшем становятся белыми и слегка прозрачными. Специфическим и диагностическим признаком болезни являются полиферация (образование выпуклостей) с нижней стороны листьев. В дальнейшем пораженные участки отмирают, вследствие чего вдоль жилок на листовых пластинках заметны темно-коричневые полосатые некротические пятна. Верхушечные листья обычно мелкие, недоразвитые. Цветки приобретают характерную светлую полосатость (в виде штрихов) за счет отсутствия пигментов, свойственных их лепесткам у здорового растения. В случае раннего заражения происходят искривление и деформация бобов. Складки, образующиеся на поверхности стенок завязи, обычно бывают темно-зеленого цвета. Вследствие поражения, семена недоразвиваются.Основными переносчиками болезниявляются гороховая и персиковая тля. Для передачи вируса деформирующей мозаики гороха тлей требуется инкубационный период от 9 до 48 часов. Тля становится вирофорной после питания на больном растении в течение 1-2 часов и сохраняет вирус на протяжении длительного периода, иногда даже всей жизни. Семенами этот вирус не передается. Интенсивное развитие вирусных болезней на посевах гороха наблюдается в период жаркой погоды при высокой влажности воздуха и большой численности тли- переносчика.","Симптоми хвороби Деформуюча мозаїка викликає зміну анатомічної будови жилок листка, поверхні листка, що зумовлено дегенерацією флоеми в провідних пучках, відсутністю стовпчастої паренхіми мезофілу, сильним потовщенням листкової пластинки. Паренхіма, розташована над пучком вздовж жилок, сильно розростається, внаслідок чого утворюються вирости. Вірус проявляється у вигляді крапчастості, зморшкуватості та курчавості листків і прилистків. На листках утворюються жовтуваті плями, які згодом стають білими і злегка прозорими. Специфічною та діагностичною ознакою хвороби є проліферація (утворення випуклостей) з нижнього боку листків. Надалі уражені ділянки відмирають, внаслідок чого вздовж жилок на листкових пластинках помітні темно-коричневі смугасті некротичні плями. Верхівкові листки зазвичай дрібні, недорозвинені. Квіти набувають характерної світлої смугастості (у вигляді штрихів) через відсутність пігментів, властивих їх пелюсткам у здорової рослини. У разі раннього зараження відбуваються викривлення та деформація бобів. Складки, що утворюються на поверхні стінок зав'язі, зазвичай бувають темно-зеленого кольору. Внаслідок ураження, насіння недорозвивається. Основними переносниками хвороби є горохова та персикова попелиця. Для передачі вірусу деформуючої мозаїки гороху попелицям потрібен інкубаційний період від 9 до 48 годин. Попелиця стає вірусоносною після живлення на хворій рослині протягом 1-2 годин і зберігає вірус протягом тривалого періоду, іноді навіть упродовж усього життя. Насінням цей вірус не передається. Інтенсивний розвиток вірусних хвороб на посівах гороху спостерігається в період спекотної погоди при високій вологості повітря та великій чисельності попелиці-переносника.","Symptoms of the Disease

